slug,published,title,original_title,url,gif,thumbnail,tag[],origin,origin_link_url,type
/2021/03/08/you-are-a-poor-scientist,2021-03-08T07:00:00Z,Published GIF “You are a poor scientist”,You are a poor scientist,https://gifs.cackhanded.net/ghostbusters/you-are-a-poor-scientist,https://gifs.cackhanded.net/ghostbusters/you-are-a-poor-scientist.gif,https://gifs.cackhanded.net/ghostbusters/you-are-a-poor-scientist.tn.gif,dean-yeager:peter-venkman:ghostbusters,gifs,https://gifs.cackhanded.net/ghostbusters/you-are-a-poor-scientist,gif
/2021/03/08/wink,2021-03-08T11:00:00Z,Published GIF “Wink”,Wink,https://gifs.cackhanded.net/wandavision/now-in-color/wink,https://gifs.cackhanded.net/wandavision/now-in-color/wink.gif,https://gifs.cackhanded.net/wandavision/now-in-color/wink.tn.gif,agatha-harkness:herb:vision:wandavision:now-in-color,gifs,https://gifs.cackhanded.net/wandavision/now-in-color/wink,gif
/2021/03/09/the-devil-is-bartending,2021-03-09T07:00:00Z,Published GIF “The devil is bartending”,The devil is bartending,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/the-devil-is-bartending,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/the-devil-is-bartending.gif,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/the-devil-is-bartending.tn.gif,larry-miller:larry-miller:5-levels-of-drinking,gifs,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/the-devil-is-bartending,gif
/2021/03/10/open-your-mouth-to-insight,2021-03-10T07:00:00Z,Published GIF “Open your mouth to insight”,Open your mouth to insight,https://gifs.cackhanded.net/horizon-zero-dawn/open-your-mouth-to-insight,https://gifs.cackhanded.net/horizon-zero-dawn/open-your-mouth-to-insight.gif,https://gifs.cackhanded.net/horizon-zero-dawn/open-your-mouth-to-insight.tn.gif,brin:horizon-zero-dawn,gifs,https://gifs.cackhanded.net/horizon-zero-dawn/open-your-mouth-to-insight,gif
/2021/03/11/greatest-thing-ever,2021-03-11T07:00:00Z,Published GIF “The greatest thing ever”,The greatest thing ever,https://gifs.cackhanded.net/mr-right/greatest-thing-ever,https://gifs.cackhanded.net/mr-right/greatest-thing-ever.gif,https://gifs.cackhanded.net/mr-right/greatest-thing-ever.tn.gif,francis-munch:martha-mckay:mr-right,gifs,https://gifs.cackhanded.net/mr-right/greatest-thing-ever,gif
/2021/03/12/dancing,2021-03-12T07:00:00Z,Published GIF “Dancing”,Dancing,https://gifs.cackhanded.net/ted-lasso/pilot/dancing,https://gifs.cackhanded.net/ted-lasso/pilot/dancing.gif,https://gifs.cackhanded.net/ted-lasso/pilot/dancing.tn.gif,ted-lasso:ted-lasso:pilot,gifs,https://gifs.cackhanded.net/ted-lasso/pilot/dancing,gif
/2021/03/12/men-who-feel-sorry-for-themselves,2021-03-12T15:00:00Z,Published GIF “Men who feel sorry for themselves”,Men who feel sorry for themselves,https://gifs.cackhanded.net/ted-lasso/all-apologies/men-who-feel-sorry-for-themselves,https://gifs.cackhanded.net/ted-lasso/all-apologies/men-who-feel-sorry-for-themselves.gif,https://gifs.cackhanded.net/ted-lasso/all-apologies/men-who-feel-sorry-for-themselves.tn.gif,keeley-jones:roy-kent:ted-lasso:all-apologies,gifs,https://gifs.cackhanded.net/ted-lasso/all-apologies/men-who-feel-sorry-for-themselves,gif
/2021/03/13/robot-arm,2021-03-13T07:00:00Z,Published GIF “Robot arm”,Robot arm,https://gifs.cackhanded.net/innerspace/robot-arm,https://gifs.cackhanded.net/innerspace/robot-arm.gif,https://gifs.cackhanded.net/innerspace/robot-arm.tn.gif,dr-niles:innerspace,gifs,https://gifs.cackhanded.net/innerspace/robot-arm,gif
/2021/03/14/walking,2021-03-14T07:00:00Z,Published GIF “Walking”,Walking,https://gifs.cackhanded.net/world-order/have-a-nice-day/walking,https://gifs.cackhanded.net/world-order/have-a-nice-day/walking.gif,https://gifs.cackhanded.net/world-order/have-a-nice-day/walking.tn.gif,world-order:world-order:have-a-nice-day,gifs,https://gifs.cackhanded.net/world-order/have-a-nice-day/walking,gif
/2021/03/15/following-egon,2021-03-15T07:00:00Z,Published GIF “Following Egon”,Following Egon,https://gifs.cackhanded.net/ghostbusters/following-egon,https://gifs.cackhanded.net/ghostbusters/following-egon.gif,https://gifs.cackhanded.net/ghostbusters/following-egon.tn.gif,egon-spengler:peter-venkman:ray-stantz:ghostbusters,gifs,https://gifs.cackhanded.net/ghostbusters/following-egon,gif
/2021/03/16/celebration,2021-03-16T07:00:00Z,Published GIF “Celebration”,Celebration,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/celebration,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/celebration.gif,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/celebration.tn.gif,larry-miller:larry-miller:5-levels-of-drinking,gifs,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/celebration,gif
/2021/03/17/change,2021-03-17T07:00:00Z,Published GIF “Change”,Change,https://gifs.cackhanded.net/horizon-zero-dawn/change,https://gifs.cackhanded.net/horizon-zero-dawn/change.gif,https://gifs.cackhanded.net/horizon-zero-dawn/change.tn.gif,aloy:brin:horizon-zero-dawn,gifs,https://gifs.cackhanded.net/horizon-zero-dawn/change,gif
/2021/03/18/winning,2021-03-18T07:00:00Z,Published GIF “Winning”,Winning,https://gifs.cackhanded.net/mr-right/winning,https://gifs.cackhanded.net/mr-right/winning.gif,https://gifs.cackhanded.net/mr-right/winning.tn.gif,francis-munch:mr-right,gifs,https://gifs.cackhanded.net/mr-right/winning,gif
/2021/03/19/water-pressure,2021-03-19T07:00:00Z,Published GIF “Water pressure”,Water pressure,https://gifs.cackhanded.net/ted-lasso/biscuits/water-pressure,https://gifs.cackhanded.net/ted-lasso/biscuits/water-pressure.gif,https://gifs.cackhanded.net/ted-lasso/biscuits/water-pressure.tn.gif,colin-hughes:roy-kent:shower:ted-lasso:biscuits,gifs,https://gifs.cackhanded.net/ted-lasso/biscuits/water-pressure,gif
/2021/03/20/lydia,2021-03-20T07:00:00Z,Published GIF “Lydia!”,Lydia!,https://gifs.cackhanded.net/innerspace/lydia,https://gifs.cackhanded.net/innerspace/lydia.gif,https://gifs.cackhanded.net/innerspace/lydia.tn.gif,kearny-street:san-francisco:taxi-cab:tuck-pendelton:innerspace,gifs,https://gifs.cackhanded.net/innerspace/lydia,gif
/2021/03/21/glow-sticks,2021-03-21T07:00:00Z,Published GIF “Dancing with glow sticks”,Dancing with glow sticks,https://gifs.cackhanded.net/world-order/have-a-nice-day/glow-sticks,https://gifs.cackhanded.net/world-order/have-a-nice-day/glow-sticks.gif,https://gifs.cackhanded.net/world-order/have-a-nice-day/glow-sticks.tn.gif,world-order:world-order:have-a-nice-day,gifs,https://gifs.cackhanded.net/world-order/have-a-nice-day/glow-sticks,gif
/2021/03/22/we-have-the-tools-we-have-the-talent,2021-03-22T07:00:00Z,"Published GIF “We have the tools, we have the talent”","We have the tools, we have the talent",https://gifs.cackhanded.net/ghostbusters/we-have-the-tools-we-have-the-talent,https://gifs.cackhanded.net/ghostbusters/we-have-the-tools-we-have-the-talent.gif,https://gifs.cackhanded.net/ghostbusters/we-have-the-tools-we-have-the-talent.tn.gif,peter-venkman:ray-stantz:winston-zeddemore:ghostbusters,gifs,https://gifs.cackhanded.net/ghostbusters/we-have-the-tools-we-have-the-talent,gif
/2021/03/23/there-are-five-levels-of-drinking,2021-03-23T07:00:00Z,Published GIF “There are five levels of drinking”,There are five levels of drinking,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/there-are-five-levels-of-drinking,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/there-are-five-levels-of-drinking.gif,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/there-are-five-levels-of-drinking.tn.gif,larry-miller:larry-miller:5-levels-of-drinking,gifs,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/there-are-five-levels-of-drinking,gif
/2021/03/24/one-woman,2021-03-24T07:00:00Z,Published GIF “One woman”,One woman,https://gifs.cackhanded.net/horizon-zero-dawn/one-woman,https://gifs.cackhanded.net/horizon-zero-dawn/one-woman.gif,https://gifs.cackhanded.net/horizon-zero-dawn/one-woman.tn.gif,aloy:teersa:horizon-zero-dawn,gifs,https://gifs.cackhanded.net/horizon-zero-dawn/one-woman,gif
/2021/03/25/who-shoots-cake,2021-03-25T07:00:00Z,Published GIF “Who shoots cake?”,Who shoots cake?,https://gifs.cackhanded.net/mr-right/who-shoots-cake,https://gifs.cackhanded.net/mr-right/who-shoots-cake.gif,https://gifs.cackhanded.net/mr-right/who-shoots-cake.tn.gif,francis-munch:mr-right,gifs,https://gifs.cackhanded.net/mr-right/who-shoots-cake,gif
/2021/03/26/whiteboard,2021-03-26T07:00:00Z,Published GIF “Whiteboard”,Whiteboard,https://gifs.cackhanded.net/ted-lasso/trent-crimm-the-independent/whiteboard,https://gifs.cackhanded.net/ted-lasso/trent-crimm-the-independent/whiteboard.gif,https://gifs.cackhanded.net/ted-lasso/trent-crimm-the-independent/whiteboard.tn.gif,ted-lasso:whiteboard:ted-lasso:trent-crimm-the-independent,gifs,https://gifs.cackhanded.net/ted-lasso/trent-crimm-the-independent/whiteboard,gif
/2021/03/27/how-does-it-feel,2021-03-27T07:00:00Z,Published GIF “How does it feel?”,How does it feel?,https://gifs.cackhanded.net/innerspace/how-does-it-feel,https://gifs.cackhanded.net/innerspace/how-does-it-feel.gif,https://gifs.cackhanded.net/innerspace/how-does-it-feel.tn.gif,tuck-pendelton:innerspace,gifs,https://gifs.cackhanded.net/innerspace/how-does-it-feel,gif
/2021/03/28/nodding-with-cones,2021-03-28T07:00:00Z,Published GIF “Nodding with cones”,Nodding with cones,https://gifs.cackhanded.net/world-order/have-a-nice-day/nodding-with-cones,https://gifs.cackhanded.net/world-order/have-a-nice-day/nodding-with-cones.gif,https://gifs.cackhanded.net/world-order/have-a-nice-day/nodding-with-cones.tn.gif,world-order:world-order:have-a-nice-day,gifs,https://gifs.cackhanded.net/world-order/have-a-nice-day/nodding-with-cones,gif
/2021/03/29/where-do-these-stairs-go,2021-03-29T07:00:00Z,Published GIF “Where do these stairs go?”,Where do these stairs go?,https://gifs.cackhanded.net/ghostbusters/where-do-these-stairs-go,https://gifs.cackhanded.net/ghostbusters/where-do-these-stairs-go.gif,https://gifs.cackhanded.net/ghostbusters/where-do-these-stairs-go.tn.gif,peter-venkman:ray-stantz:winston-zeddemore:ghostbusters,gifs,https://gifs.cackhanded.net/ghostbusters/where-do-these-stairs-go,gif
/2021/03/30/grimace,2021-03-30T07:00:00Z,Published GIF “Grimace”,Grimace,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/grimace,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/grimace.gif,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/grimace.tn.gif,404-page-candidate:larry-miller:larry-miller:5-levels-of-drinking,gifs,https://gifs.cackhanded.net/larry-miller/5-levels-of-drinking/grimace,gif
